#Plane_1u2
#Wire       tzero  t_zero_err      entries
1    -2.34504     0.00000             1
2    -2.34504     0.00000             2
3    -2.34504     0.00000             10
4    -2.34504     0.00000             12
5    -2.34504     0.00000             24
6    -2.34504     0.00000             22
7    -2.34504     0.00000             34
8    -2.34504     0.00000             55
9    -2.34504     0.00000             57
10    -2.34504     0.00000             69
11    -2.34504     0.00000             85
12    -2.34504     0.00000             90
13    -2.34504     0.00000             105
14    -2.34504     0.00000             129
15    -2.34504     0.00000             143
16    -2.34504     0.00000             164
17    -2.34504     0.00000             191
18    -2.34504     0.00000             228
19    -2.34504     0.00000             220
20    -2.34504     0.00000             230
21    -2.34504     0.00000             327
22    -2.34504     0.00000             306
23    -2.34504     0.00000             0
24    -2.34504     0.00000             4
25    -2.34504     0.00000             466
26    -2.34504     0.00000             491
27    -2.34504     0.00000             494
28    -2.34504     0.00000             541
29    -2.34504     0.00000             565
30    -2.34504     0.00000             601
31    -2.34504     0.00000             715
32    -2.34504     0.00000             736
33    -2.34504     0.00000             761
34    -2.34504     0.00000             802
35    -2.34504     0.00000             898
36    -2.34504     0.00000             916
37    -4.25715     1.64499             1001
38    -1.12896     0.49384             1100
39    -2.00778     0.87933             1616
40    -3.16479     0.30763             2491
41    -3.07517     0.29011             3860
42    -3.28170     0.21827             5865
43    -2.27238     0.13410             8168
44    -3.13315     0.14061             10831
45    -1.07888     0.07856             13580
46    -0.81011     0.06359             17426
47    -2.39502     0.08806             23836
48    -2.45297     0.07140             36021
49    -2.84654     0.04390             99384
50    -2.80843     0.02886             216108
51    -2.75305     0.02504             318404
52    -2.70193     0.02198             365388
53    -2.64861     0.02268             358751
54    -2.68230     0.02440             294911
55    -2.86299     0.03106             197939
56    -2.74552     0.04056             113413
57    -2.42101     0.05372             63337
58    -2.36083     0.05903             49102
59    -2.87398     0.07111             41336
60    -2.80592     0.07895             34476
61    1.00627     0.03362             29890
62    1.12866     0.07061             25214
63    1.04247     0.04733             21427
64    0.99650     0.05149             17678
65    1.02764     0.07866             14616
66    0.98548     0.10857             11861
67    0.96207     0.10412             10002
68    0.90775     0.20247             8305
69    0.82089     0.15266             7013
70    0.54921     0.20000             6235
71    0.40190     0.25849             5388
72    -1.35405     0.76441             4741
73    0.11567     0.40834             4117
74    -0.00263     0.40318             3609
75    0.72018     0.25209             3030
76    0.75596     0.73219             2695
77    2.16086     0.59383             2313
78    -1.03854     2.38759             1908
79    -2.34504     0.00000             1756
80    -4.05479     3.19932             1502
81    -2.34504     0.00000             0
82    -2.34504     0.00000             1305
83    -20.96925     13.27053             1159
84    -9.47641     6.09150             1151
85    -0.67132     2.92468             1124
86    -5.54017     4.81839             1068
87    -2.34504     0.00000             898
88    -2.34504     0.00000             849
89    -2.34504     0.00000             711
90    -2.34504     0.00000             649
91    -2.34504     0.00000             526
92    -2.34504     0.00000             420
93    -2.34504     0.00000             312
94    -2.34504     0.00000             241
95    -2.34504     0.00000             187
96    -2.34504     0.00000             149
97    -2.34504     0.00000             150
98    -2.34504     0.00000             108
99    -2.34504     0.00000             88
100    -2.34504     0.00000             0
101    -2.34504     0.00000             49
102    -2.34504     0.00000             40
103    -2.34504     0.00000             35
104    -2.34504     0.00000             29
105    -2.34504     0.00000             19
106    -2.34504     0.00000             13
107    -2.34504     0.00000             7
