#Plane_2v2
#Wire       tzero  t_zero_err      entries
1    -1.22106     0.00000             21
2    -1.22106     0.00000             26
3    -1.22106     0.00000             41
4    -1.22106     0.00000             45
5    -1.22106     0.00000             86
6    -1.22106     0.00000             82
7    -1.22106     0.00000             131
8    -1.22106     0.00000             123
9    -1.22106     0.00000             175
10    -1.22106     0.00000             196
11    -1.22106     0.00000             237
12    -1.22106     0.00000             271
13    -1.22106     0.00000             329
14    -1.22106     0.00000             371
15    -1.22106     0.00000             412
16    -1.22106     0.00000             455
17    -1.22106     0.00000             494
18    -1.22106     0.00000             570
19    -1.22106     0.00000             655
20    -1.22106     0.00000             707
21    -1.22106     0.00000             748
22    -1.22106     0.00000             836
23    -1.22106     0.00000             860
24    -1.22106     0.00000             987
25    -5.12633     1.56726             1045
26    -6.34650     2.58296             1121
27    -6.27874     2.27876             1179
28    -4.00817     0.67809             1195
29    2.88936     2.31299             1192
30    4.63263     1.81602             1265
31    4.42819     1.59645             1298
32    5.97530     1.23997             1380
33    3.66935     0.88545             1383
34    3.96027     1.70814             1500
35    -5.00974     4.56023             1558
36    0.99943     2.14444             1753
37    5.28174     0.95161             2203
38    1.81813     0.28511             3147
39    2.78723     0.32653             4477
40    -0.38037     1.15465             6211
41    3.49119     0.22635             8288
42    3.05283     0.16218             10477
43    3.22438     0.17816             13294
44    2.89523     0.15932             16878
45    2.52042     0.21555             19578
46    6.43154     0.22216             26902
47    6.15772     0.20962             38247
48    2.37401     0.10028             59210
49    1.89114     0.03863             169378
50    2.10527     0.03291             327188
51    1.43459     0.01936             418899
52    1.43283     0.02132             360647
53    1.48579     0.02492             277194
54    1.51678     0.03221             167179
55    1.54499     0.04428             92050
56    2.18635     0.07455             63662
57    1.46363     0.05453             53258
58    1.75472     0.06701             45427
59    1.29786     0.05287             40272
60    1.41036     0.08153             34734
61    -2.63737     0.08452             30357
62    -2.32048     0.08697             26801
63    -0.80368     0.06238             23593
64    -0.91828     0.06756             20676
65    -0.79379     0.07085             17795
66    -2.11145     0.10378             15382
67    -0.70161     0.08505             13178
68    -0.94544     0.06700             11069
69    -1.03318     0.11205             9597
70    -2.22491     0.14239             7890
71    -2.85728     0.18574             6885
72    -1.04059     0.14409             5967
73    -2.01033     0.17825             5273
74    -0.95305     0.46437             4655
75    -0.92480     0.16522             4039
76    0.81766     0.23399             3704
77    2.29377     0.57395             2921
78    1.85739     0.40771             2614
79    1.16203     1.68097             2350
80    3.31237     1.00313             2166
81    -16.34380     8.99334             1858
82    -6.31978     3.63999             1669
83    -9.80823     7.47120             1376
84    -9.48030     5.69909             1238
85    -4.65851     4.22408             1139
86    -1.22106     17.40506             1078
87    -1.22106     0.00000             944
88    -1.22106     0.00000             919
89    -1.22106     0.00000             840
90    -1.22106     0.00000             768
91    -1.22106     0.00000             630
92    -1.22106     0.00000             565
93    -1.22106     0.00000             446
94    -1.22106     0.00000             365
95    -1.22106     0.00000             338
96    -1.22106     0.00000             273
97    -1.22106     0.00000             221
98    -1.22106     0.00000             206
99    -1.22106     0.00000             163
100    -1.22106     0.00000             127
101    -1.22106     0.00000             124
102    -1.22106     0.00000             105
103    -1.22106     0.00000             77
104    -1.22106     0.00000             59
105    -1.22106     0.00000             42
106    -1.22106     0.00000             28
107    -1.22106     0.00000             18
