#Plane_2x1
#Wire       tzero  t_zero_err      entries
1    -1.17055     0.00000             611
2    -1.17055     0.00000             562
3    -1.17055     0.00000             551
4    -1.17055     0.00000             488
5    -1.17055     0.00000             518
6    -1.17055     0.00000             533
7    -1.17055     0.00000             580
8    -1.17055     0.00000             728
9    -1.17055     0.00000             829
10    -1.17055     0.00000             886
11    -1.17055     0.00000             998
12    -11.72648     8.65473             1017
13    -9.09802     5.18573             1048
14    1.68327     1.24498             1061
15    3.54971     1.37007             1087
16    -10.34526     7.75734             1114
17    0.41357     1.08393             1261
18    -24.44518     12.52525             1359
19    -2.21899     1.65950             1312
20    -1.17055     57.42765             1395
21    0.25658     0.45732             1528
22    -0.53472     0.60638             1735
23    -0.33526     0.59520             1990
24    -0.36081     0.48715             2578
25    -1.22631     0.52858             3581
26    -0.09736     0.33709             4744
27    10.13243     11.68153             11844
28    -2.82983     0.02577             239248
29    -2.87351     0.02984             241864
30    -2.88333     0.03386             194998
31    -2.92114     0.04066             168597
32    -0.91166     0.02766             118628
33    -3.16449     0.05124             83373
34    -3.33497     0.06648             61853
35    -3.38241     0.07304             49929
36    -3.45732     0.07958             46800
37    -6.66002     0.20107             55214
38    -3.49182     0.06681             66615
39    -8.33420     0.29950             76236
40    -6.79064     0.16169             83625
41    -4.86730     0.08398             87248
42    -7.51326     0.22192             87166
43    -7.70805     0.23713             86070
44    -8.34764     0.25528             82726
45    -7.71257     0.23940             79497
46    -7.70750     0.24844             75192
47    -3.48983     0.06596             71819
48    -3.78791     0.07356             68784
49    -8.78155     0.25980             65628
50    -3.21417     0.06225             63431
51    -3.05492     0.05646             60858
52    -3.16032     0.07304             49137
53    -3.18159     0.07242             42554
54    -3.34588     0.08927             35431
55    -3.41736     0.10773             25615
56    -3.50771     0.16079             12881
57    -4.00715     0.32925             5607
58    -3.20877     0.22833             4924
59    -3.76605     0.35118             4684
60    -14.96943     2.98701             4248
61    -2.93799     0.29539             3875
62    -3.12928     0.28501             3585
63    -3.37948     0.31411             3424
64    -3.86535     0.46711             3168
65    4.52637     1.19597             2801
66    0.95122     2.97145             2789
67    6.26803     2.10035             2484
68    -6.43001     4.92566             2413
69    6.40989     0.92937             2304
70    2.58898     2.94386             2173
71    -0.89473     3.57408             2146
72    -1.17055     22.96678             2016
73    -7.56303     5.70365             1928
74    5.01506     1.53914             1823
75    -9.34072     6.76717             1722
76    -8.98617     6.77118             1677
77    -8.36934     6.93533             1602
78    5.83205     1.25423             1653
79    4.37998     1.41826             2039
